days,water,food,meds,faid,warm,transp,comm,sani,power,shelter
0,0.14358974358974358,0.01015228426395939,0.016574585635359115,0.07027027027027027,0.005076142131979695,0.03488372093023256,0.05714285714285714,0.17543859649122806,0.2736842105263158,0.24324324324324326
1,0.12307692307692308,0.05752961082910322,0.01289134438305709,0.07207207207207207,0.01353637901861252,0.01744186046511628,0.10285714285714286,0.06237816764132553,0.10877192982456141,0.036036036036036036
2,0.12307692307692308,0.05752961082910322,0.01289134438305709,0.07207207207207207,0.01353637901861252,0.01744186046511628,0.10285714285714286,0.06237816764132553,0.10877192982456141,0.036036036036036036
3,0.12307692307692308,0.05752961082910322,0.01289134438305709,0.07207207207207207,0.01353637901861252,0.01744186046511628,0.10285714285714286,0.06237816764132553,0.10877192982456141,0.036036036036036036
4,0.08034188034188033,0.10829103214890017,0.04419889502762431,0.07387387387387387,0.008460236886632826,0.06201550387596899,0.05523809523809523,0.05458089668615985,0.07192982456140351,0.030630630630630633
5,0.08034188034188033,0.10829103214890017,0.04419889502762431,0.07387387387387387,0.008460236886632826,0.06201550387596899,0.05523809523809523,0.05458089668615985,0.07192982456140351,0.030630630630630633
6,0.08034188034188033,0.10829103214890017,0.04419889502762431,0.07387387387387387,0.008460236886632826,0.06201550387596899,0.05523809523809523,0.05458089668615985,0.07192982456140351,0.030630630630630633
7,0.24615384615384617,0.49238578680203043,0.8121546961325967,0.4918918918918919,0.9289340101522843,0.7267441860465116,0.4685714285714286,0.47368421052631576,0.18421052631578946,0.5567567567567567
