,water,food,meds,faid,warm,transp,comm,sani,power,shelter
nobody,0.08040201005025126,0.045454545454545456,0.24242424242424243,0.020202020202020204,0.025252525252525252,0.041025641025641026,0.035897435897435895,0.06598984771573604,0.05583756345177665,0.06153846153846154
strong ties,0.4271356783919598,0.3787878787878788,0.29797979797979796,0.21212121212121213,0.22727272727272727,0.27692307692307694,0.18974358974358974,0.36548223350253806,0.4619289340101523,0.4564102564102564
strong and weak ties,0.18090452261306533,0.26262626262626265,0.18181818181818182,0.21717171717171718,0.21717171717171718,0.3128205128205128,0.28205128205128205,0.27918781725888325,0.26903553299492383,0.28717948717948716
anyone,0.31155778894472363,0.31313131313131315,0.2777777777777778,0.5505050505050505,0.5303030303030303,0.36923076923076925,0.49230769230769234,0.2893401015228426,0.2131979695431472,0.19487179487179487
