,water,food,meds,faid,warm,transp,comm,sani,power,shelter
nobody,0.027237354085603113,0.01568627450980392,0.15261044176706828,0.00390625,0.003937007874015748,0.023715415019762844,0.01195219123505976,0.043478260869565216,0.02766798418972332,0.01968503937007874
strong ties,0.38910505836575876,0.3333333333333333,0.28112449799196787,0.12890625,0.16535433070866143,0.18972332015810275,0.15139442231075698,0.2727272727272727,0.32806324110671936,0.3110236220472441
strong and weak ties,0.30739299610894943,0.37254901960784315,0.24899598393574296,0.24609375,0.3110236220472441,0.43478260869565216,0.32270916334661354,0.35177865612648224,0.3794466403162055,0.4094488188976378
anyone,0.27626459143968873,0.2784313725490196,0.3172690763052209,0.62109375,0.5196850393700787,0.35177865612648224,0.5139442231075697,0.33201581027667987,0.2648221343873518,0.25984251968503935
