days,water,food,meds,faid,warm,transp,comm,sani,power,shelter
0,0.09881422924901187,0.011904761904761904,0.008298755186721992,0.012145748987854251,0.0,0.024390243902439025,0.07009345794392523,0.13488372093023257,0.1747967479674797,0.25541125541125537
1,0.12911725955204217,0.08994708994708996,0.012448132780082987,0.0796221322537112,0.005333333333333333,0.03089430894308943,0.11838006230529595,0.12093023255813953,0.13279132791327916,0.028860028860028857
2,0.12911725955204217,0.08994708994708996,0.012448132780082987,0.0796221322537112,0.005333333333333333,0.03089430894308943,0.11838006230529595,0.12093023255813953,0.13279132791327916,0.028860028860028857
3,0.12911725955204217,0.08994708994708996,0.012448132780082987,0.0796221322537112,0.005333333333333333,0.03089430894308943,0.11838006230529595,0.12093023255813953,0.13279132791327916,0.028860028860028857
4,0.08563899868247696,0.11772486772486773,0.02627939142461964,0.08502024291497975,0.029333333333333333,0.07479674796747968,0.05451713395638629,0.05116279069767442,0.07181571815718159,0.04184704184704184
5,0.08563899868247696,0.11772486772486773,0.02627939142461964,0.08502024291497975,0.029333333333333333,0.07479674796747968,0.05451713395638629,0.05116279069767442,0.07181571815718159,0.04184704184704184
6,0.08563899868247696,0.11772486772486773,0.02627939142461964,0.08502024291497975,0.029333333333333333,0.07479674796747968,0.05451713395638629,0.05116279069767442,0.07181571815718159,0.04184704184704184
7,0.25691699604743085,0.36507936507936506,0.8755186721991701,0.4939271255060729,0.896,0.6585365853658537,0.411214953271028,0.3488372093023256,0.21138211382113825,0.5324675324675324
