,7_water,7_food,7_meds,7_faid,7_warm,7_transp,7_comm,7_sani,7_power,7_shelter
7_water,0.7492400291828789,0.5172301991662805,0.3734777820961266,0.2170343137254903,0.27490585415953445,0.24223602484472037,0.21289243027888452,0.34051697095175393,0.39246502289980556,0.3683669976035603
7_food,0.5172301991662805,0.6696927589933612,0.41295546558704493,0.28512962559521976,0.31051982546006457,0.25499601593625476,0.2616867469879519,0.2976095617529881,0.36307569721115507,0.35092961487383806
7_meds,0.3734777820961266,0.41295546558704493,1.1410156756056482,0.37111466631840156,0.29417620706819325,0.3891741548994438,0.33469387755102037,0.2841249465126233,0.4535894144366543,0.3994524639123942
7_faid,0.2170343137254903,0.28512962559521976,0.37111466631840156,0.5330882352941179,0.3637919765958106,0.26086131663820905,0.3988047808764943,0.27812559286662863,0.28906595838866755,0.2534506556245685
7_warm,0.27490585415953445,0.31051982546006457,0.29417620706819325,0.3637919765958106,0.5830506364570036,0.3047171314741037,0.3561827956989248,0.3186827309236946,0.3677450199203186,0.3152031872509961
7_transp,0.24223602484472037,0.25499601593625476,0.3891741548994438,0.26086131663820905,0.3047171314741037,0.6256979735240605,0.3903291106177353,0.38623107569721116,0.37929880478087613,0.33333333333333337
7_comm,0.21289243027888452,0.2616867469879519,0.33469387755102037,0.3988047808764943,0.3561827956989248,0.3903291106177353,0.6008605577689242,0.34540289930782303,0.364960167167298,0.2847068042314223
7_sani,0.34051697095175393,0.2976095617529881,0.2841249465126233,0.27812559286662863,0.3186827309236946,0.38623107569721116,0.34540289930782303,0.780977476629651,0.3982329317269076,0.3952771084337347
7_power,0.39246502289980556,0.36307569721115507,0.4535894144366543,0.28906595838866755,0.3677450199203186,0.37929880478087613,0.364960167167298,0.3982329317269076,0.6922328878850618,0.47113253012048173
7_shelter,0.3683669976035603,0.35092961487383806,0.3994524639123942,0.2534506556245685,0.3152031872509961,0.33333333333333337,0.2847068042314223,0.3952771084337347,0.47113253012048173,0.6439419874887177
